education,experience,skills,ranking_score
0,8,4,61
3,19,4,70
0,13,6,99
3,18,2,52
0,2,1,40
1,3,2,77
2,6,5,52
2,1,6,92
3,1,9,99
0,6,6,94
2,12,2,66
3,4,10,45
0,3,1,83
1,17,9,87
2,14,5,72
0,20,2,70
3,1,4,50
3,15,7,62
0,17,9,54
3,16,4,45
1,17,8,87
1,15,3,85
1,11,6,42
3,13,1,72
3,5,10,100
2,6,9,75
2,16,10,51
3,13,9,68
2,10,3,72
1,16,6,65
2,2,5,90
1,14,7,60
3,3,4,90
0,7,8,55
3,14,8,55
2,10,6,65
0,11,9,64
0,14,8,46
2,6,9,81
0,13,5,43
2,19,2,45
1,15,3,61
0,13,2,86
3,1,3,43
0,7,10,85
2,9,10,48
2,10,9,63
3,8,4,59
3,11,8,46
3,12,8,46
1,7,8,87
0,7,6,51
3,3,7,86
1,17,7,82
2,17,5,44
0,2,10,75
0,1,8,71
0,16,8,44
3,1,8,58
3,0,7,52
1,20,8,56
2,0,3,97
1,7,6,87
1,20,1,65
1,15,2,43
1,3,6,53
0,20,3,61
2,7,7,92
1,13,2,43
0,20,1,74
2,19,8,94
3,5,7,46
1,1,6,100
2,6,2,99
0,14,8,98
0,7,10,66
1,17,9,74
2,6,8,40
1,1,9,90
1,16,4,91
2,9,1,68
3,7,10,92
0,4,4,49
0,1,5,46
0,5,7,60
1,16,2,54
0,2,7,71
0,17,7,45
1,13,4,56
0,20,8,60
1,8,1,93
3,16,7,70
3,1,1,94
1,5,1,65
3,2,9,80
2,15,5,76
3,20,2,84
3,17,5,86
3,0,7,99
0,6,5,99
3,19,7,97
1,5,7,73
3,11,3,89
2,20,10,54
2,20,9,55
1,6,2,73
1,13,2,84
1,13,10,40
1,17,4,50
1,20,6,59
1,17,7,48
1,16,6,44
2,12,10,46
1,12,4,75
1,7,10,78
2,15,5,73
3,2,4,84
0,5,2,62
0,8,7,59
3,14,6,67
1,14,4,61
3,16,10,95
1,2,8,97
1,13,10,85
1,20,2,55
3,12,6,99
0,8,5,56
3,6,4,94
1,17,6,42
1,0,3,89
3,9,9,69
3,7,2,98
3,15,1,75
1,9,8,41
1,8,3,91
1,6,4,40
1,20,10,69
0,8,7,46
2,5,7,81
1,10,2,73
3,16,5,82
0,7,5,94
1,19,8,79
3,16,3,95
1,6,5,84
3,19,9,84
1,8,1,40
2,8,9,43
1,13,4,69
2,8,6,43
0,13,7,40
0,9,4,85
0,8,9,94
3,0,1,57
3,3,5,55
1,8,10,40
1,18,10,50
1,12,8,87
0,9,7,69
0,19,5,93
2,13,4,93
2,13,1,92
2,17,6,45
1,13,8,89
3,9,5,56
2,9,1,97
0,8,2,84
2,10,5,86
0,19,3,90
0,19,8,47
0,11,5,48
2,8,4,92
1,18,8,71
0,11,5,54
2,13,2,93
3,14,3,59
0,9,7,51
1,6,7,81
0,19,3,46
1,5,6,40
0,10,3,47
1,18,5,85
2,20,10,78
3,19,9,78
2,2,10,57
2,5,3,48
0,17,7,98
1,13,4,95
2,5,5,44
2,8,6,89
1,12,8,40
0,2,4,62
3,9,4,80
3,13,7,45
2,13,6,57
3,11,2,63
1,6,2,53
3,18,7,55
0,10,3,80
3,4,3,57
2,8,6,81
3,15,7,94
3,17,8,98
3,5,2,89
1,11,8,49
1,8,9,48
1,8,7,89
3,18,7,77
1,4,5,84
2,5,2,48
0,3,2,77
2,12,8,77
0,12,10,47
0,4,6,54
3,4,5,50
0,5,5,85
3,16,7,65
0,12,7,90
1,13,9,100
0,3,6,84
1,2,3,94
0,3,6,98
2,4,6,53
3,8,3,53
2,18,5,99
2,11,7,95
1,8,10,72
0,18,1,86
3,18,2,66
3,11,7,91
2,13,8,44
1,17,8,89
2,1,1,84
1,0,10,67
2,5,2,99
2,0,1,83
1,1,2,76
1,19,3,63
0,16,2,86
2,2,8,72
1,5,1,79
2,12,10,84
0,11,5,94
1,9,5,60
2,17,10,78
0,11,8,70
2,17,4,94
2,16,2,86
3,9,2,88
0,12,6,90
3,5,2,96
3,16,4,66
3,1,4,89
1,1,10,44
1,17,4,41
0,15,2,70
0,18,7,63
1,13,10,43
2,8,8,54
1,8,3,92
2,9,7,64
3,0,8,62
1,20,5,95
1,3,10,49
3,7,8,64
3,1,4,89
0,19,3,93
3,18,3,81
3,10,10,95
2,5,7,59
0,10,1,41
3,2,9,97
3,6,9,53
2,1,7,65
2,3,8,63
3,7,8,59
2,16,5,62
3,9,1,88
2,9,7,80
3,17,3,46
1,12,6,55
2,11,5,52
0,3,7,98
2,8,10,60
3,12,10,63
0,13,7,99
3,20,2,67
1,20,2,67
1,6,1,62
3,1,9,92
1,15,8,58
0,3,6,96
0,4,10,69
0,16,9,57
2,7,2,70
1,17,3,68
3,10,10,96
2,5,5,65
1,14,8,94
3,5,9,42
1,6,5,44
0,14,2,79
2,1,4,79
3,17,4,81
1,12,1,59
1,4,7,74
1,5,4,59
3,19,8,81
2,6,8,93
1,6,6,52
2,1,10,46
1,19,7,87
1,4,9,79
3,13,4,74
0,16,2,43
0,19,9,49
0,9,5,46
1,10,2,100
3,19,8,86
1,14,8,47
1,3,3,47
1,10,3,82
3,12,5,94
1,5,8,62
1,7,10,73
2,8,6,55
0,17,3,99
0,3,8,60
3,9,3,62
2,3,3,62
2,16,4,45
0,0,3,40
1,1,2,41
1,19,4,99
3,6,4,80
3,10,3,78
1,17,8,65
1,15,1,47
1,18,8,73
1,18,2,58
1,1,2,46
2,14,10,69
0,14,8,49
1,8,10,44
3,0,4,62
1,4,6,78
3,16,9,40
2,9,8,94
0,9,3,95
3,8,6,72
2,19,1,92
2,11,4,73
2,16,10,56
3,5,3,50
0,19,8,63
3,7,3,94
0,9,9,49
2,20,10,80
3,4,6,71
0,16,6,54
2,8,1,83
1,3,8,41
1,0,10,67
3,18,5,99
2,7,8,71
3,16,6,90
2,3,1,53
3,14,2,45
2,10,10,46
3,17,6,40
3,18,10,54
1,1,5,81
0,9,7,54
2,15,5,82
3,16,8,48
3,19,1,57
0,15,1,99
0,17,8,45
1,9,5,72
0,13,3,100
0,3,9,82
0,13,1,91
0,14,6,82
2,6,5,58
3,5,1,81
1,3,7,88
3,5,8,58
0,14,6,82
3,17,9,75
0,2,1,68
2,0,8,88
0,19,1,99
3,12,10,42
0,18,7,51
2,6,2,78
0,8,9,73
3,6,9,68
3,4,1,89
3,15,2,46
0,20,2,71
2,12,10,61
3,6,4,97
1,15,5,94
0,4,7,74
3,13,1,40
3,6,9,50
0,16,4,41
1,4,9,63
0,10,5,74
0,4,4,100
0,18,1,70
3,17,6,67
1,4,7,74
1,1,6,59
0,3,3,55
0,5,5,63
3,5,7,86
2,8,7,49
0,8,9,81
2,10,8,75
2,9,4,77
1,14,1,66
1,17,5,68
0,14,8,71
2,8,2,86
0,15,6,92
1,7,5,55
1,10,9,87
3,1,4,80
0,13,2,93
2,2,7,77
1,19,6,50
2,15,5,90
2,14,3,56
3,0,1,71
2,0,9,76
2,20,3,59
0,1,1,82
1,17,3,84
3,5,5,87
2,11,3,46
2,19,4,50
2,5,8,93
2,12,6,51
0,12,2,86
2,2,2,58
0,15,10,78
3,9,10,52
3,4,4,72
1,16,9,82
3,16,3,79
0,8,8,64
3,16,1,51
3,1,2,67
1,11,8,78
1,17,8,92
0,13,6,60
2,14,6,64
1,5,7,95
0,5,2,42
0,1,1,56
3,10,5,72
0,8,8,42
2,17,4,59
3,1,3,60
2,3,5,42
3,1,4,86
1,14,5,49
2,13,9,73
2,12,1,72
1,2,6,62
0,14,5,85
2,17,8,73
1,12,8,94
1,13,5,66
3,1,6,86
2,15,2,87
1,13,5,43
0,12,6,98
0,2,10,46
3,0,8,96
2,6,5,95
1,7,4,48
1,6,7,94
2,12,10,66
3,12,9,71
0,8,2,53
1,0,4,49
1,8,6,93
1,0,9,42
2,19,8,42
1,12,7,82
0,6,2,74
2,4,3,55
3,8,9,61
3,13,1,65
3,7,2,72
3,18,9,89
3,12,5,58
2,4,5,88
0,16,1,87
0,15,8,74
3,8,4,86
0,1,5,79
2,4,8,53
2,9,5,40
2,17,3,48
2,2,1,49
1,10,3,52
3,14,3,85
3,19,10,67
1,4,2,74
3,1,4,96
0,5,9,86
0,11,8,83
3,20,6,53
0,3,6,72
0,11,10,65
0,0,5,53
3,17,2,41
2,13,3,40
3,10,9,82
1,10,3,68
1,20,9,97
0,6,9,73
2,4,3,62
1,7,8,68
0,16,9,79
2,17,8,41
0,4,6,84
0,20,8,92
2,9,2,89
1,15,5,82
3,3,9,66
3,11,7,87
1,8,2,82
2,17,10,84
0,5,3,43
1,10,3,87
3,3,10,64
1,16,8,99
1,18,7,69
2,7,6,91
2,15,3,96
2,7,2,41
3,6,2,81
2,16,10,85
3,8,5,62
0,11,3,91
3,6,1,41
2,18,1,59
1,8,8,81
2,20,6,57
0,0,5,65
1,18,9,96
1,2,6,49
3,6,4,83
2,20,7,57
3,3,8,50
1,16,2,74
0,12,5,41
2,13,4,83
2,9,10,42
0,13,6,74
0,5,9,45
2,4,2,72
0,14,10,89
0,5,7,60
1,8,6,81
1,9,8,89
2,0,7,53
3,18,9,42
3,17,2,56
2,0,1,74
3,5,7,64
2,9,4,52
1,5,3,53
2,6,9,61
3,20,6,57
3,13,7,54
3,13,6,43
0,11,9,82
3,18,7,84
0,10,7,61
3,18,8,98
2,12,5,73
3,11,8,48
0,3,2,71
2,6,7,56
2,20,4,87
0,0,5,95
0,20,10,90
3,8,7,98
3,14,10,74
2,13,3,51
0,12,4,79
3,7,8,82
3,16,8,78
3,14,5,100
0,2,3,72
1,10,10,63
1,16,2,61
1,18,7,58
1,9,7,68
1,18,8,97
0,20,5,64
1,19,6,58
3,18,6,80
1,8,2,93
2,2,6,81
3,18,10,41
1,1,7,95
0,20,9,42
0,10,9,77
3,13,10,80
1,10,4,58
1,6,10,66
3,15,5,92
2,3,8,91
1,12,2,58
1,3,10,97
2,4,6,85
1,1,6,57
0,4,8,75
3,1,5,97
0,10,2,48
2,18,1,100
2,13,4,99
2,19,3,83
0,0,4,48
3,13,2,43
0,19,2,47
3,4,10,65
1,5,7,53
2,19,6,80
2,18,9,59
2,9,8,96
0,8,7,43
1,18,2,88
3,6,5,45
3,16,1,41
1,9,1,46
2,7,8,41
0,9,10,85
0,12,10,55
0,5,5,98
1,3,9,66
0,0,6,63
0,13,4,73
1,3,10,51
3,7,3,69
1,7,3,81
1,17,2,49
1,12,5,97
0,7,2,80
2,0,10,73
3,13,4,86
3,11,2,62
1,9,5,68
2,12,1,79
2,2,3,81
0,7,9,58
1,18,5,44
2,7,8,85
2,10,8,73
0,7,8,53
3,0,10,80
3,10,5,94
2,14,6,68
0,15,10,47
0,10,8,97
1,18,10,57
0,18,10,42
2,15,10,67
1,20,7,53
3,7,5,66
0,9,7,70
3,6,6,64
0,18,9,65
3,14,1,41
2,2,8,46
0,2,1,62
2,17,6,71
1,18,8,97
3,14,3,52
1,18,6,54
0,1,8,79
0,9,1,93
3,1,9,87
1,18,2,97
1,18,6,95
0,13,1,43
0,4,10,50
0,11,7,56
2,9,3,82
2,1,10,43
1,17,10,53
1,10,6,48
1,1,3,96
0,19,6,72
1,13,7,50
1,0,6,97
2,6,7,96
0,1,7,90
2,3,10,41
1,9,1,68
3,11,2,67
3,5,10,41
3,18,6,76
2,12,10,89
3,4,8,77
1,14,5,80
1,4,6,66
1,15,4,50
3,13,7,47
0,14,4,53
3,4,3,97
1,6,6,84
0,11,6,85
3,6,3,93
3,7,5,95
0,0,8,81
3,19,5,62
1,6,6,53
1,11,5,97
1,11,1,58
0,2,1,80
2,3,4,60
1,10,8,97
3,14,8,65
1,13,3,99
1,5,6,79
3,16,9,82
0,16,8,43
3,16,3,40
2,4,4,83
0,15,7,42
2,10,9,59
1,2,10,47
2,3,1,100
3,19,7,57
2,10,3,47
1,9,10,65
3,5,9,70
3,4,3,81
0,12,2,53
1,19,1,97
3,8,1,51
2,6,1,70
0,19,1,75
1,8,8,57
3,1,3,78
3,11,8,67
0,17,6,87
1,0,1,56
0,8,9,76
3,15,7,66
1,20,1,62
0,15,2,42
0,2,7,74
1,10,4,46
1,3,3,73
2,11,5,95
3,17,10,83
1,0,4,88
0,12,2,40
1,16,5,62
3,17,2,41
3,19,7,42
1,13,10,87
3,19,9,52
0,20,7,53
3,14,8,70
2,6,7,56
1,6,10,63
3,1,4,77
3,3,3,43
1,8,1,42
2,0,7,88
3,13,5,68
2,18,5,71
0,18,6,67
0,17,1,66
0,15,7,90
0,17,3,49
0,15,8,94
0,17,5,71
2,9,9,86
2,1,9,58
0,16,6,80
3,3,5,69
2,13,4,42
3,5,6,87
0,1,9,40
2,2,8,69
0,6,9,65
1,5,6,59
1,14,6,87
0,0,3,56
3,12,1,99
1,15,8,49
3,14,9,95
3,1,6,50
3,6,7,88
0,18,7,54
1,20,9,41
3,4,2,96
0,15,1,60
3,0,4,85
1,13,5,65
3,13,5,65
0,1,2,50
3,18,5,89
1,2,7,45
3,20,5,40
2,7,8,66
2,4,6,92
1,1,9,64
2,20,7,43
3,2,5,88
2,11,6,60
2,6,9,76
0,2,7,41
2,2,5,68
1,17,6,75
3,4,10,52
3,2,8,85
3,13,1,83
3,5,6,42
2,10,10,52
2,9,7,74
2,12,5,90
0,17,1,72
2,20,7,78
0,13,10,86
3,14,7,100
1,14,9,74
3,5,7,51
0,5,9,65
1,0,3,70
1,20,9,43
2,6,9,54
0,0,9,94
2,19,5,62
2,14,1,76
2,14,4,77
2,19,4,40
1,7,3,93
3,13,8,60
1,1,6,47
3,18,9,72
0,0,7,70
2,6,4,72
1,15,10,100
3,18,3,41
1,12,8,50
3,7,7,55
0,19,9,98
3,15,8,96
1,6,10,48
0,4,5,73
2,2,5,54
3,10,4,40
2,13,1,54
1,8,1,50
0,11,5,57
3,8,5,98
1,7,9,46
2,0,5,83
1,18,6,68
2,0,2,49
0,12,9,94
2,16,10,70
2,19,1,59
3,1,7,71
0,8,8,93
0,9,2,75
1,14,7,77
3,2,9,63
2,11,10,49
3,9,10,71
0,4,6,42
0,14,7,82
0,4,6,57
2,13,5,75
0,20,6,80
2,9,3,65
3,0,2,69
3,8,10,64
0,15,9,88
3,8,8,97
3,13,5,99
2,12,5,76
1,7,7,85
2,3,9,89
0,19,2,50
1,13,3,78
1,19,1,76
1,6,8,65
3,18,10,56
0,4,9,48
0,3,8,84
3,7,6,79
0,14,4,49
0,20,9,82
0,10,7,75
2,6,9,67
1,1,4,80
1,4,8,65
3,7,8,82
2,20,6,40
1,15,8,68
1,5,10,80
3,1,1,92
1,5,6,89
2,15,5,44
2,12,2,72
3,8,4,85
2,5,9,89
0,15,5,65
3,8,7,56
2,4,3,75
3,4,3,73
0,8,5,75
0,2,6,41
1,1,2,70
1,7,4,49
0,19,6,40
0,19,9,71
1,4,4,60
3,18,7,83
0,11,3,85
0,19,3,77
0,5,4,82
2,11,1,46
2,9,10,59
2,4,1,68
1,10,8,52
2,2,3,40
2,6,10,57
0,5,2,74
2,4,5,96
1,18,8,81
1,3,5,86
1,20,9,55
1,3,1,77
3,11,1,63
0,13,6,50
0,8,8,78
3,2,2,48
1,5,6,76
1,11,4,64
1,2,8,88
3,6,9,70
1,17,1,75
2,9,3,75
3,8,9,70
0,4,7,63
1,18,6,77
3,14,1,63
3,13,4,76
2,8,6,88
2,9,5,79
1,11,8,88
0,13,1,48
0,12,7,67
1,8,9,60
3,2,6,89
2,16,6,62
3,13,7,43
1,7,3,45
0,17,7,57
0,4,1,84
3,6,9,45
1,6,10,60
3,7,9,67
0,12,3,75
0,5,8,45
1,13,1,61
0,14,3,55
1,7,3,50
2,19,8,91
2,5,8,74
3,5,2,85
1,13,8,76
3,3,3,47
2,13,7,93
2,20,6,64
0,12,1,78
3,13,7,56
1,3,7,95
3,1,7,44
2,0,1,73
2,20,5,65
2,13,1,85
0,9,7,89
3,12,7,57
2,14,2,70
1,2,10,49
1,12,10,46
